Date,Open_S,High_S,Low_S,Close_S
11/01/23, 63829.87, 63896.05, 63550.46, 63591.33
10/31/23, 64449.65, 64452.32, 63812.53, 63874.93
10/30/23, 63885.56, 64184.58, 63431.45, 64112.65
10/27/23, 63559.32, 63913.13, 63393.37, 63782.80
10/26/23, 63774.16, 63774.16, 63092.98, 63148.15
10/25/23, 64619.27, 64787.08, 63912.16, 64049.06
10/23/23, 65419.02, 65453.92, 64502.68, 64571.88
10/20/23, 65437.07, 65555.14, 65308.61, 65397.62
10/19/23, 65484.61, 65869.65, 65343.50, 65629.24
10/18/23, 66473.74, 66475.27, 65842.10, 65877.02
10/17/23, 66558.15, 66559.82, 66309.18, 66428.09
10/16/23, 66238.15, 66342.75, 66039.38, 66166.93
10/13/23, 66034.21, 66478.90, 65895.41, 66282.74
10/12/23, 66564.57, 66577.60, 66339.42, 66408.39
10/11/23, 66376.42, 66592.16, 66299.79, 66473.05
10/10/23, 65662.27, 66180.17, 65662.27, 66079.36
10/09/23, 65560.07, 65789.98, 65434.61, 65512.39
10/06/23, 65867.54, 66095.81, 65762.33, 65995.63
10/05/23, 65598.26, 65753.20, 65443.34, 65631.57
10/04/23, 65330.65, 65332.52, 64878.77, 65226.04
10/03/23, 65813.42, 65813.50, 65344.59, 65512.10
09/29/23, 65743.93, 66151.65, 65570.38, 65828.41
09/28/23, 66406.01, 66406.01, 65423.39, 65508.32
09/27/23, 65925.64, 66172.27, 65549.96, 66118.69
09/26/23, 66071.63, 66078.26, 65865.63, 65945.47
09/25/23, 66082.99, 66225.63, 65764.03, 66023.69
09/22/23, 66215.04, 66445.47, 65952.83, 66009.15
09/21/23, 66608.67, 66608.67, 66128.71, 66230.24
09/20/23, 67080.18, 67294.16, 66728.14, 66800.84
09/18/23, 67665.58, 67803.15, 67532.83, 67596.84
09/15/23, 67659.91, 67927.23, 67614.42, 67838.63
09/14/23, 67627.03, 67771.05, 67336.46, 67519.00
09/13/23, 67188.64, 67565.41, 67053.36, 67466.99
09/12/23, 67506.88, 67539.10, 66948.18, 67221.13
09/11/23, 66807.73, 67172.13, 66735.84, 67127.08
09/08/23, 66381.43, 66766.92, 66299.30, 66598.91
09/07/23, 65854.25, 66296.90, 65672.34, 66265.56
09/06/23, 65744.19, 65971.13, 65488.03, 65880.52
09/05/23, 65671.60, 65831.70, 65601.47, 65780.26
09/04/23, 65525.91, 65683.91, 65285.56, 65628.14
09/01/23, 64855.51, 65473.27, 64818.37, 65387.16
08/31/23, 65178.33, 65277.04, 64723.63, 64831.41
08/30/23, 65311.58, 65458.70, 65052.74, 65087.25
08/29/23, 65201.35, 65229.03, 64956.67, 65075.82
08/28/23, 64908.08, 65213.45, 64776.92, 64996.60
08/25/23, 65000.67, 65106.00, 64732.57, 64886.51
08/24/23, 65722.51, 65913.77, 65181.94, 65252.34
08/23/23, 65300.93, 65504.71, 65108.51, 65433.30
08/22/23, 65272.42, 65362.91, 65165.45, 65220.03
08/21/23, 64852.70, 65335.82, 64852.70, 65216.09
08/18/23, 65025.71, 65175.32, 64754.72, 64948.66
08/17/23, 65503.85, 65535.14, 65046.10, 65151.02
08/16/23, 65238.67, 65605.74, 65032.89, 65539.42
08/14/23, 65153.02, 65517.82, 64821.88, 65401.92
08/11/23, 65727.80, 65727.80, 65274.61, 65322.65
08/10/23, 65945.39, 65956.25, 65509.14, 65688.18
08/09/23, 65810.96, 66066.01, 65444.38, 65995.81
08/08/23, 66048.81, 66057.53, 65752.63, 65846.50
08/07/23, 65811.40, 66067.90, 65748.25, 65953.48
08/04/23, 65453.55, 65799.27, 65387.18, 65721.25
08/03/23, 65550.82, 65820.82, 64963.08, 65240.68
08/02/23, 66064.41, 66261.97, 65431.68, 65782.78
08/01/23, 66532.98, 66658.12, 66388.26, 66459.31
07/31/23, 66156.39, 66598.42, 65998.90, 66527.67
07/28/23, 66266.35, 66351.22, 65878.65, 66160.20
07/27/23, 66834.12, 66984.17, 66060.74, 66266.82
07/26/23, 66434.72, 66897.27, 66431.34, 66707.20
07/25/23, 66531.20, 66559.29, 66177.62, 66355.71
07/24/23, 66629.14, 66808.56, 66326.25, 66384.78
07/21/23, 66907.07, 67190.52, 66533.74, 66684.26
07/20/23, 67074.34, 67619.17, 66831.38, 67571.90
07/19/23, 66905.01, 67171.38, 66703.61, 67097.44
07/18/23, 66828.96, 67007.02, 66574.47, 66795.14
07/17/23, 66148.18, 66656.21, 66015.63, 66589.93
07/14/23, 65775.49, 66159.79, 65610.82, 66060.90
07/13/23, 65667.07, 66064.21, 65452.15, 65558.89
07/12/23, 65759.28, 65811.64, 65320.25, 65393.90
07/11/23, 65598.65, 65870.59, 65517.57, 65617.84
07/10/23, 65482.33, 65633.49, 65246.40, 65344.17
07/07/23, 65559.41, 65898.98, 65175.74, 65280.45
07/06/23, 65391.88, 65832.98, 65328.29, 65785.64
07/05/23, 65493.68, 65584.33, 65256.49, 65446.04
07/04/23, 65503.85, 65672.97, 65171.06, 65479.05
07/03/23, 64836.16, 65300.35, 64836.16, 65205.05
06/30/23, 64068.44, 64768.58, 64068.44, 64718.56
06/28/23, 63701.78, 64050.44, 63554.82, 63915.42
06/27/23, 63151.85, 63467.54, 63054.84, 63416.03
06/26/23, 62946.50, 63136.09, 62853.67, 62970.00
06/23/23, 63124.28, 63240.63, 62874.12, 62979.37
06/22/23, 63601.71, 63601.71, 63200.63, 63238.89
06/21/23, 63467.46, 63588.31, 63315.62, 63523.15
06/20/23, 63176.77, 63440.19, 62801.91, 63327.70
06/19/23, 63474.21, 63574.69, 63047.83, 63168.30
06/16/23, 62960.73, 63520.36, 62957.17, 63384.58
06/15/23, 63153.78, 63310.96, 62871.08, 62917.63
06/14/23, 63115.48, 63274.03, 63013.51, 63228.51
06/13/23, 62779.14, 63177.47, 62777.04, 63143.16
06/12/23, 62659.98, 62804.89, 62615.20, 62724.71
06/09/23, 62810.68, 62992.16, 62594.74, 62625.63
06/08/23, 63140.17, 63321.40, 62789.73, 62848.64
06/07/23, 62917.39, 63196.43, 62841.95, 63142.96
06/06/23, 62738.35, 62867.95, 62554.21, 62792.88
06/05/23, 62759.19, 62943.20, 62751.72, 62787.47
06/02/23, 62601.97, 62719.84, 62379.86, 62547.11
06/01/23, 62736.47, 62762.41, 62359.14, 62428.54
05/31/23, 62839.97, 62876.77, 62401.02, 62622.24
05/30/23, 62839.85, 63036.12, 62737.40, 62969.13
05/29/23, 62801.54, 63026.00, 62801.54, 62846.38
05/26/23, 61985.36, 62529.83, 61911.61, 62501.69
05/25/23, 61706.13, 61934.01, 61484.66, 61872.62
05/24/23, 61834.28, 62154.14, 61708.10, 61773.78
05/23/23, 62098.16, 62245.19, 61914.40, 61981.79
05/22/23, 61579.78, 62044.46, 61579.78, 61963.68
05/19/23, 61556.25, 61784.61, 61251.70, 61729.68
05/18/23, 61937.86, 61955.90, 61349.34, 61431.74
05/17/23, 61932.32, 61979.94, 61340.10, 61560.64
05/16/23, 62474.11, 62475.95, 61847.41, 61932.47
05/15/23, 62157.10, 62562.67, 61950.30, 62345.71
05/12/23, 61857.69, 62110.93, 61578.15, 62027.90
05/11/23, 62158.10, 62168.22, 61823.07, 61904.52
05/10/23, 61843.36, 61974.35, 61572.93, 61940.20
05/09/23, 61879.68, 62027.51, 61654.94, 61761.33
05/08/23, 61166.09, 61854.19, 61166.09, 61764.25
05/05/23, 61163.10, 61585.50, 61002.17, 61054.29
05/04/23, 61258.13, 61797.91, 61119.56, 61749.25
05/03/23, 61274.96, 61274.96, 61024.44, 61193.30
05/02/23, 61301.61, 61486.24, 61255.00, 61354.71
04/28/23, 60721.61, 61209.46, 60507.83, 61112.44
04/27/23, 60315.56, 60698.31, 60271.49, 60649.38
04/26/23, 60087.98, 60362.79, 59954.91, 60300.58
04/25/23, 60202.77, 60268.67, 59967.02, 60130.71
04/24/23, 59873.71, 60101.64, 59620.11, 60056.10
04/21/23, 59538.79, 59781.36, 59412.81, 59655.06
04/20/23, 59586.61, 59836.79, 59489.98, 59632.35
04/19/23, 59745.89, 59745.89, 59452.72, 59567.80
04/18/23, 59991.26, 60113.47, 59579.30, 59727.01
04/17/23, 60385.90, 60407.86, 59442.47, 59910.75
04/13/23, 60364.41, 60486.91, 60081.43, 60431.00
04/12/23, 60180.20, 60437.64, 60094.69, 60392.77
04/11/23, 60028.60, 60267.68, 59919.88, 60157.72
04/10/23, 59858.98, 60109.11, 59766.23, 59846.51
04/06/23, 59627.01, 59950.06, 59520.12, 59832.97
04/05/23, 59094.71, 59747.12, 59094.40, 59689.31
04/03/23, 59131.16, 59204.82, 58793.08, 59106.44
03/31/23, 58273.86, 59068.47, 58273.86, 58991.52
03/29/23, 57572.08, 58124.20, 57524.32, 57960.09
03/28/23, 57751.50, 57949.45, 57494.91, 57613.72
03/27/23, 57566.90, 58019.55, 57415.02, 57653.86
03/24/23, 57890.66, 58066.40, 57422.98, 57527.10
03/23/23, 58061.41, 58396.17, 57838.85, 57925.28
03/22/23, 58245.26, 58418.78, 58063.50, 58214.59
03/21/23, 57963.27, 58133.33, 57730.09, 58074.68
03/20/23, 57773.55, 57829.23, 57084.91, 57628.95
03/17/23, 58038.17, 58178.94, 57503.90, 57989.90
03/16/23, 57510.80, 57887.46, 57158.69, 57634.84
03/15/23, 58268.54, 58473.63, 57455.67, 57555.90
03/14/23, 58168.75, 58490.98, 57721.16, 57900.19
